"E","Fmax","d"
18.0077213416119,44.478515625,44.478515625
26.4815127959858,19.3857421875,19.3857421875
21.1820183602259,92.8388671875,92.8388671875
0.537642146464586,37.32421875,37.32421875
6.23923367860294,53.806640625,53.806640625
13.8302740953103,63.8466796875,63.8466796875
21.7867096300044,53.8125,53.8125
43.6813562424582,42.2080078125,42.2080078125
51.039907752172,49.318359375,49.318359375
42.3839869949419,58.359375,58.359375
33.5627399058446,85.7666015625,85.7666015625
30.4107856075142,32.7685546875,32.7685546875
34.7117588753113,91.8486328125,91.8486328125
30.4272256144559,79.5498046875,79.5498046875
41.0002523980939,51.28125,51.28125
29.3611839471039,36.7236328125,36.7236328125
35.4442309922279,44.33203125,44.33203125
16.5555163408243,70.119140625,70.119140625
NA,28.91015625,28.91015625
36.0741705450896,62.54296875,62.54296875
